t, Vc
0,0
0.1,0.025
0.2,0.04875
0.3,0.0713125
0.4,0.0927469
0.5,0.11311
0.6,0.132454
0.7,0.150831
0.8,0.16829
0.9,0.184875
1,0.200632
1.1,0.2156
1.2,0.22982
1.3,0.243329
1.4,0.256163
1.5,0.268354
1.6,0.279937
1.7,0.29094
1.8,0.301393
1.9,0.311323
2,0.320757
2.1,0.329719
2.2,0.338233
2.3,0.346322
2.4,0.354005
2.5,0.361305
2.6,0.36824
2.7,0.374828
2.8,0.381087
2.9,0.387032
3,0.392681
3.1,0.398047
3.2,0.403144
3.3,0.407987
3.4,0.412588
3.5,0.416958
3.6,0.42111
3.7,0.425055
3.8,0.428802
3.9,0.432362
4,0.435744
4.1,0.438957
4.2,0.442009
4.3,0.444908
4.4,0.447663
4.5,0.45028
4.6,0.452766
4.7,0.455128
4.8,0.457371
4.9,0.459503
5,0.461528
